index,dex_name,chain_name,chain_id,pool_contract_address,pool_fee,pool_tick_spacing,pool_deploy_time,contract_address_token_0,contract_name_token_0,contract_ticker_symbol_token_0,contract_decimals_token_0,logo_url_token_0,supports_erc_token_0,contract_address_token_1,contract_name_token_1,contract_ticker_symbol_token_1,contract_decimals_token_1,logo_url_token_1,supports_erc_token_1,n_swaps,n_liquidity
5366,uniswap_v3,eth-mainnet,1,0x92c7b5ce4cb0e5483f3365c1449f21578ee9f21a,3000,60,2021-05-06 03:25:59+00:00,0x853d955acef822db058eb8505911ed77f175b99e,Frax,FRAX,18,https://logos.covalenthq.com/tokens/0x853d955acef822db058eb8505911ed77f175b99e.png,['erc20'],0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,18,https://logos.covalenthq.com/tokens/0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2.png,['erc20'],22.0,10.0
5508,uniswap_v3,eth-mainnet,1,0x11b815efb8f581194ae79006d24e0d814b7697f6,500,10,2021-05-05 21:46:12+00:00,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,18,https://logos.covalenthq.com/tokens/0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2.png,['erc20'],0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USD,USDT,6,https://logos.covalenthq.com/tokens/0xdac17f958d2ee523a2206206994597c13d831ec7.png,['erc20'],735785.0,6421.0
5513,uniswap_v3,eth-mainnet,1,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,500,10,2021-05-05 21:42:11+00:00,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USD Coin,USDC,6,https://logos.covalenthq.com/tokens/0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48.png,['erc20'],0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,18,https://logos.covalenthq.com/tokens/0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2.png,['erc20'],1246381.0,31421.0
5631,uniswap_v3,eth-mainnet,1,0x99ac8ca7087fa4a2a1fb6357269965a2014abc35,3000,60,2021-05-05 19:13:15+00:00,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,Wrapped BTC,WBTC,8,https://logos.covalenthq.com/tokens/0x2260fac5e5542a773aa44fbcfedf7c193bc2c599.png,['erc20'],0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USD Coin,USDC,6,https://logos.covalenthq.com/tokens/0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48.png,['erc20'],59889.0,10913.0
5666,uniswap_v3,eth-mainnet,1,0x60594a405d53811d3bc4766596efd80fd545a270,500,10,2021-05-05 18:03:43+00:00,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,18,https://logos.covalenthq.com/tokens/0x6b175474e89094c44da98b954eedeac495271d0f.png,['erc20'],0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,18,https://logos.covalenthq.com/tokens/0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2.png,['erc20'],295932.0,3515.0
5670,uniswap_v3,eth-mainnet,1,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,3000,60,2021-05-05 16:37:08+00:00,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,18,https://logos.covalenthq.com/tokens/0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2.png,['erc20'],0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USD,USDT,6,https://logos.covalenthq.com/tokens/0xdac17f958d2ee523a2206206994597c13d831ec7.png,['erc20'],159328.0,29299.0
5678,uniswap_v3,eth-mainnet,1,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,3000,60,2021-05-04 23:10:00+00:00,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USD Coin,USDC,6,https://logos.covalenthq.com/tokens/0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48.png,['erc20'],0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,18,https://logos.covalenthq.com/tokens/0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2.png,['erc20'],194629.0,79804.0
5691,uniswap_v3,eth-mainnet,1,0xc2e9f25be6257c210d7adf0d4cd6e3e881ba25f8,3000,60,2021-05-04 20:16:08+00:00,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,18,https://logos.covalenthq.com/tokens/0x6b175474e89094c44da98b954eedeac495271d0f.png,['erc20'],0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,18,https://logos.covalenthq.com/tokens/0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2.png,['erc20'],85097.0,11042.0
